target_name,feature_set,model,held_out_kernel_id,n_train_rows,n_test_rows,train_s,predict_s,predict_per_row_ms,n_features
energy_ratio,launch,xgboost,euler3d::computeflux,1640,26,1.7044078649487346,0.0032168349716812372,0.12372442198773989,19
energy_ratio,launch,xgboost,euler3d::computestepfactor,1641,25,0.6834098559338599,0.0056740338914096355,0.22696135565638542,19
energy_ratio,launch,xgboost,euler3d::timestep,1640,26,1.1256680141668767,0.019449508050456643,0.7480580019406402,19
energy_ratio,launch,xgboost,fdtd2d::step1,1640,26,0.7487911230418831,0.003157678060233593,0.1214491561628305,19
energy_ratio,launch,xgboost,fdtd2d::step2,1640,26,1.3789368621073663,0.0031893448904156685,0.12266711116983339,19
energy_ratio,launch,xgboost,fdtd2d::step3,1640,26,0.6518370651174337,0.0031721710693091154,0.12200657958881214,19
energy_ratio,launch,xgboost,gemm::gemmkernel,1641,25,1.236199842998758,0.019449046114459634,0.7779618445783854,19
energy_ratio,launch,xgboost,gemver::gemverkernel1,1640,26,0.6431203340180218,0.0031959249172359705,0.12292018912446039,19
energy_ratio,launch,xgboost,gemver::gemverkernel2,1640,26,0.6794644801411778,0.0030834029894322157,0.11859242267046984,19
energy_ratio,launch,xgboost,gemver::gemverkernel3,1640,26,1.0527091089170426,0.003287461819127202,0.1264408391972001,19
energy_ratio,launch,xgboost,gesummv::gesummvkernel,1640,26,0.6449478298891336,0.0031238689552992582,0.12014880597304839,19
energy_ratio,launch,xgboost,gramschmidt::kernel1,1641,25,0.6516346221324056,0.0027443747967481613,0.10977499186992645,19
energy_ratio,launch,xgboost,gramschmidt::kernel2,1641,25,1.0394097920507193,0.0033280260395258665,0.13312104158103466,19
energy_ratio,launch,xgboost,gramschmidt::kernel3,1641,25,0.6448492608033121,0.003108571982011199,0.12434287928044796,19
energy_ratio,launch,xgboost,hotspot3d::hotspotopt1,1640,26,0.639929197030142,0.0031884510535746813,0.12263273282979542,19
energy_ratio,launch,xgboost,hotspot::calculatetemp,1640,26,1.0227674969937652,0.003205924993380904,0.12330480743772708,19
energy_ratio,launch,xgboost,jacobi1d::kernel1,1641,25,0.643372266786173,0.0030958231072872877,0.12383292429149151,19
energy_ratio,launch,xgboost,jacobi1d::kernel2,1641,25,0.6417727849911898,0.003128246869891882,0.12512987479567528,19
energy_ratio,launch,xgboost,jacobi2d::kernel1,1640,26,1.0492588931228966,0.0032763169147074223,0.12601218902720854,19
energy_ratio,launch,xgboost,jacobi2d::kernel2,1640,26,0.6410600219387561,0.0031115578021854162,0.11967530008405447,19
energy_ratio,launch,xgboost,kmeans::kmeanspoint,1641,25,0.6480287068989128,0.019273302983492613,0.7709321193397045,19
energy_ratio,launch,xgboost,lavamd::kernelgpucuda,1641,25,1.0140360279474407,0.003081246977671981,0.12324987910687922,19
energy_ratio,launch,xgboost,mvt::kernel1,1640,26,0.7010567600373179,0.019355325028300285,0.7444355780115495,19
energy_ratio,launch,xgboost,mvt::kernel2,1640,26,0.7016316039953381,0.019283942179754376,0.7416900838367069,19
